;Area;Year;Average dietary energy supply adequacy (percent) (3-year average);Average fat supply (g/cap/day) (3-year average);Average protein supply (g/cap/day) (3-year average);Average supply of protein of animal origin (g/cap/day) (3-year average);Cereal import dependency ratio (percent) (3-year average);Coefficient of variation of habitual caloric consumption distribution (real number);Gross domestic product per capita, PPP, (constant 2017 international $);Incidence of caloric losses at retail distribution level (percent);Minimum dietary energy requirement  (kcal/cap/day);Per capita food production variability (constant 2014-2016 thousand int$ per capita);Per capita food supply variability (kcal/cap/day);Percentage of population using at least basic drinking water services (percent);Percentage of population using at least basic sanitation services (percent);Percentage of population using safely managed drinking water services (percent);Percentage of population using safely managed sanitation services (percent);Rail lines density (total route in km per 100 square km of land area);Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average);Value of food imports in total merchandise exports (percent) (3-year average)
189;Cambodia;2020;122;37.8;64.7;19;-7.1;0.24;4276.2;2.9;1778;9.7;39;71.2;68.8;27.8;;;69;6
190;Cambodia;2021;123;;;;;0.25;4354.6;2.9;1781;;40;;;;;;;6
191;Cambodia;2022;123;;;;;0.23;;2.9;1783;;;;;;;;;
192;Cameroon;2017;125;56.6;72.3;12;29.4;0.26;3691.1;3.19;1735;3.6;70;64.7;43.4;;;0.2;55;25
193;Cameroon;2018;124;56;72;11.3;28.9;0.26;3732.5;3.19;1744;9.4;62;65;43.8;;;0.2;56;25
194;Cameroon;2019;125;55.3;71.7;11;31;0.26;3756.5;3.19;1746;10.9;28;65.4;44.2;;;0.2;56;25
195;Cameroon;2020;126;54.9;72;11;31.4;0.26;3665.5;3.19;1748;11;37;65.7;44.6;;;0.2;57;26
196;Cameroon;2021;126;;;;;0.27;3700.5;3.19;1751;;47;;;;;;;28
197;Cameroon;2022;124;;;;;0.26;;3.19;1753;;;;;;;;;
198;Canada;2017;143;157.8;101;54.7;-84;0.2;48317.2;2.09;1920;65.8;30;99;99;98.9;83.6;0.5;27;7
199;Canada;2018;144;158.1;104.4;56.4;-79.6;0.2;48962.5;2.09;1920;52.1;27;99;99;99;84;0.5;28;7
200;Canada;2019;144;158.4;106;58.4;-84.7;0.2;49171.5;2.09;1919;50;27;99;99;99;84.4;0.5;28;7
201;Canada;2020;144;159.8;106.7;59.7;-85.6;0.21;46064.3;2.09;1919;33.5;28;99;99;99;84.4;0.5;29;7
202;Canada;2021;145;;;;;0.21;47892.9;2.09;1919;;25;;;;;;;7
203;Canada;2022;146;;;;;0.21;;2.09;1919;;;;;;;;;
204;Central African Republic;2017;85;56.5;49.4;20;24.9;0.29;839.6;1.98;1665;4.7;65;40.2;15.2;6.5;14.6;;54;66
205;Central African Republic;2018;86;59.1;50.7;20;;0.29;854.6;1.98;1666;3.8;44;39.2;14.8;6.4;14.3;;53;58
206;Central African Republic;2019;87;59.7;50.7;20.3;;0.29;861.8;1.98;1666;3.5;54;38.2;14.5;6.3;13.9;;52;58
207;Central African Republic;2020;87;58.6;50;20.3;;0.29;847.8;1.98;1668;3.5;68;37.2;14.1;6.2;13.6;;52;61
208;Central African Republic;2021;86;;;;;0.29;837.5;1.98;1668;;55;;;;;;;58
209;Central African Republic;2022;84;;;;;0.29;;1.98;1668;;;;;;;;;
210;Chad;2017;108;65.7;77;25.3;5.5;0.36;1579.8;3.09;1694;23.4;62;45.1;11.4;5.6;9.6;;62;9
211;Chad;2018;109;65.9;77.7;25.7;4.6;0.36;1563.5;3.09;1697;8.8;44;45.5;11.6;5.6;9.8;;62;9
212;Chad;2019;108;66.5;78;26.3;4;0.36;1562;3.09;1699;7.2;21;45.8;11.8;5.6;10;;62;8
213;Chad;2020;106;66.3;77.7;26.7;3.8;0.36;1489.2;3.09;1701;7;20;46.2;12.1;5.6;10.1;;61;7
214;Chad;2021;104;;;;;0.36;1425.5;3.09;1703;;14;;;;;;;7
215;Chad;2022;102;;;;;0.36;;3.09;1705;;;;;;;;;
216;Chile;2017;122;90.6;89.4;47.3;41.4;0.22;24546.9;2.47;1880;17.1;19;99;99;98.8;74.4;0.3;42;7
217;Chile;2018;123;90.7;91.4;48.3;42.9;0.22;25072;2.47;1882;18.2;12;99;99;98.8;75.7;0.3;43;8
218;Chile;2019;123;92.5;92.3;48.3;48.1;0.23;24816.6;2.47;1883;21;11;99;99;98.8;77.2;0.3;43;8
219;Chile;2020;125;95.8;92.7;48.3;53.9;0.23;23017.7;2.47;1884;21.2;13;99;99;98.8;78.6;0.3;42;8
220;Chile;2021;126;;;;;0.23;25449.1;2.47;1885;;16;;;;;;;9
221;Chile;2022;126;;;;;0.23;;2.47;1885;;;;;;;;;
222;China;2017;131;100.7;102.5;40;4.7;;14532.4;;1875;5.1;13;;;;;;51;4
223;China;2018;132;102.1;103.5;40.3;4.2;;15426.8;;1874;6;13;;;;;;51;4
224;China;2019;132;102.4;104.5;40.7;3.8;;16256;;1876;6.9;14;;;;;;51;4
225;China;2020;133;103.2;105.1;41.1;4.3;;16522.3;;1880;8.6;19;;;;;;51;5
226;China;2021;135;;;;;;17846.7;;1885;;16;;;;;;;5
227;China;2022;137;;;;;;;;1889;;;;;;;;;
252;Colombia;2017;130;87.6;69.3;36;61.7;0.27;14334.9;2.83;1823;6.7;42;96.9;90.9;72.7;17.9;;34;13
253;Colombia;2018;130;89;70.4;36.3;61.2;0.27;14426.4;2.83;1825;12.6;30;97.1;91.8;72.9;18;;34;13
254;Colombia;2019;129;89.9;72;37;62.8;0.28;14616.1;2.83;1826;12.9;32;97.3;92.8;73;18.2;;35;12
255;Colombia;2020;130;90;72.7;37.3;63.6;0.31;13387.7;2.83;1828;12.9;47;97.5;93.7;73;18.3;;36;13
256;Colombia;2021;130;;;;;0.31;14648.6;2.83;1828;;40;;;;;;;15
257;Colombia;2022;132;;;;;0.31;;2.83;1829;;;;;;;;;
258;Comoros;2017;111;62.4;55.3;14.7;;0.26;3240.2;1.51;1738;3.5;24;80.2;35.9;;;;57;422
259;Comoros;2018;112;61.9;55;14.3;73.2;0.26;3294.8;1.51;1740;3.7;20;80.2;35.9;;;;57;233
260;Comoros;2019;112;60.3;54.3;14.7;;0.26;3290.7;1.51;1743;3.4;20;80.2;35.9;;;;56;192
261;Comoros;2020;112;59.7;54.7;15.7;;0.26;3222.4;1.51;1745;2.7;19;;;;;;56;257
262;Comoros;2021;111;;;;;0.26;3228.5;1.51;1749;;16;;;;;;;296
263;Comoros;2022;109;;;;;0.26;;1.51;1751;;;;;;;;;
264;Congo;2017;97;47.9;51;24;87.2;0.27;4073.9;3.21;1733;2.7;54;73.2;20.2;45.4;;;61;6
265;Congo;2018;96;48.5;51.7;25;92.2;0.28;3786.4;3.21;1736;3;21;73.4;20.3;45.5;;;60;6
266;Congo;2019;97;49.3;52.7;25.3;93.3;0.29;3695.1;3.21;1738;2.9;23;73.6;20.4;45.7;;;61;6
267;Congo;2020;97;52.1;52.3;25;96.2;0.3;3384.7;3.21;1742;2.6;27;73.8;20.5;45.9;;;60;8
268;Congo;2021;98;;;;;0.35;3234.4;3.21;1747;;20;;;;;;;9
269;Congo;2022;98;;;;;0.36;;3.21;1751;;;;;;;;;
270;Cook Islands;2017;;;;;;;;3.02;;6.4;;99;98.7;;;;;216
271;Cook Islands;2018;;;;;;;;3.02;;2.6;;99;99;;;;;225
272;Cook Islands;2019;;;;;;;;3.02;;2.8;;99;99;;;;;219
273;Cook Islands;2020;;;;;;;;3.02;;5.4;;99;99;;;;;202
274;Cook Islands;2021;;;;;;;;3.02;;;;;;;;;;206
275;Cook Islands;2022;;;;;;;;3.02;;;;;;;;;;
276;Costa Rica;2017;121;99.2;78;43.7;85.7;0.22;20168.2;3.39;1879;7.3;35;99;97.4;80.5;31;;32;19
277;Costa Rica;2018;123;102.3;80;45;85.8;0.22;20503.3;3.39;1880;11.1;46;99;97.6;80.5;30.5;;32;18
